39;FLT_CARRIER;64.136.173.23;0;;39,FLT_CARRIER,,proxy,proxy;name:VoIP Innovations Inbound Carrier,gwgroup:5,addr_id:59
40;FLT_CARRIER;209.166.128.201;0;;40,FLT_CARRIER,,proxy,proxy;name:VoIP Innovations Inbound Carrier,gwgroup:5,addr_id:60
41;FLT_CARRIER;192.240.151.101;0;;41,FLT_CARRIER,,proxy,proxy;name:VoIP Innovations Inbound Carrier,gwgroup:5,addr_id:61
42;FLT_CARRIER;64.136.173.65;0;;42,FLT_CARRIER,,proxy,proxy;name:VoIP Innovations Inbound Carrier,gwgroup:5,addr_id:62
43;FLT_CARRIER;64.136.174.65;0;;43,FLT_CARRIER,,proxy,proxy;name:VoIP Innovations Inbound Carrier,gwgroup:5,addr_id:63
44;FLT_CARRIER;64.136.174.21;0;;44,FLT_CARRIER,,proxy,proxy;name:VoIP Innovations Inbound Carrier,gwgroup:5,addr_id:64
45;FLT_CARRIER;209.166.154.71;0;;45,FLT_CARRIER,,proxy,proxy;name:VoIP Innovations Inbound Carrier,gwgroup:5,addr_id:65
46;FLT_CARRIER;64.136.174.30;0;;46,FLT_CARRIER,,proxy,proxy;name:VoIP Innovations Outbound Conversational Carrier,gwgroup:6,addr_id:66
47;FLT_CARRIER;64.136.173.22;0;;47,FLT_CARRIER,,proxy,proxy;name:VoIP Innovations Outbound Conversational Carrier,gwgroup:6,addr_id:67
48;FLT_CARRIER;209.166.128.200;0;;48,FLT_CARRIER,,proxy,proxy;name:VoIP Innovations Outbound Conversational Carrier,gwgroup:6,addr_id:68
49;FLT_CARRIER;192.240.151.100;0;;49,FLT_CARRIER,,proxy,proxy;name:VoIP Innovations Outbound Conversational Carrier,gwgroup:6,addr_1d:69
50;FLT_CARRIER;72.15.219.140;0;;50,FLT_CARRIER,,proxy,proxy;name:Thinq Carrier,gwgroup:7,addr_id:70
51;FLT_CARRIER;216.147.191.157;0;;51,FLT_CARRIER,,proxy,proxy;name:Voxtelesys Carrier,gwgroup:8,addr_id:71
52;FLT_CARRIER;64.34.181.47;0;;52,FLT_CARRIER,,proxy,proxy;name:Les.net Carrier,gwgroup:9,addr_id:72
53;FLT_CARRIER;206.80.250.100;0;;53,FLT_CARRIER,,proxy,proxy;name:ThinkTel,gwgroup:10,addr_id:73
54;FLT_CARRIER;208.68.17.52;0;;54,FLT_CARRIER,,proxy,proxy;name:ThinkTel,gwgroup:10,addr_id:74
55;FLT_CARRIER;209.197.130.80;0;;55,FLT_CARRIER,,proxy,proxy;name:ThinkTel,gwgroup:10,addr_id:75
